date,tracker_id,tracker_name,metric_name,option_index,polarity,weight,value
2019-01-01,1,National Issues,Corruption,0,-1.0,1.0,9.62
2019-01-01,1,National Issues,Unemployment,1,-1.0,1.5,28.45
2019-01-01,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,8.71
2019-01-01,1,National Issues,Rising Prices,3,-1.0,1.5,9.35
2019-01-01,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.52
2019-01-01,1,National Issues,Terror Attacks,5,1.0,0.9,3.89
2019-01-01,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-01,1,National Issues,Other Issues,7,0.0,0.0,26.17
2019-01-01,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,8.29
2019-01-01,2,Quality of Life Index,Improved,0,1.0,1.3,36.78
2019-01-01,2,Quality of Life Index,Remained the same,1,0.0,0.2,30.51
2019-01-01,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,31.07
2019-01-01,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.64
2019-01-01,5,Index of Optimism,Will Improve,0,1.0,1.5,52.89
2019-01-01,5,Index of Optimism,Will remain the same,1,0.0,0.2,9.51
2019-01-01,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,9.92
2019-01-01,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,27.68
2019-01-01,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,12.24
2019-01-01,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,54.71
2019-01-01,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.93
2019-01-01,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,22.7
2019-01-01,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,5.42
2019-01-01,7,Media Usage,TV news channels,0,0.0,0.0,51.45
2019-01-01,7,Media Usage,Radio,1,0.0,0.0,1.54
2019-01-01,7,Media Usage,Newspapers,2,0.0,0.0,14.29
2019-01-01,7,Media Usage,News magazines,3,0.0,0.0,0.13
2019-01-01,7,Media Usage,Internet / social media,4,0.0,0.0,25.53
2019-01-01,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.16
2019-01-01,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,2.88
2019-01-01,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.57
2019-01-02,1,National Issues,Corruption,0,-1.0,1.0,9.95
2019-01-02,1,National Issues,Unemployment,1,-1.0,1.5,28.5
2019-01-02,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,8.73
2019-01-02,1,National Issues,Rising Prices,3,-1.0,1.5,8.92
2019-01-02,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.21
2019-01-02,1,National Issues,Terror Attacks,5,1.0,0.9,3.36
2019-01-02,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-02,1,National Issues,Other Issues,7,0.0,0.0,26.97
2019-01-02,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,8.36
2019-01-02,2,Quality of Life Index,Improved,0,1.0,1.3,36.95
2019-01-02,2,Quality of Life Index,Remained the same,1,0.0,0.2,30.58
2019-01-02,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,30.77
2019-01-02,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.7
2019-01-02,5,Index of Optimism,Will Improve,0,1.0,1.5,53.36
2019-01-02,5,Index of Optimism,Will remain the same,1,0.0,0.2,9.62
2019-01-02,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,10.06
2019-01-02,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,26.96
2019-01-02,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,12.42
2019-01-02,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,54.95
2019-01-02,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.84
2019-01-02,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,22.49
2019-01-02,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,5.3
2019-01-02,7,Media Usage,TV news channels,0,0.0,0.0,51.79
2019-01-02,7,Media Usage,Radio,1,0.0,0.0,1.57
2019-01-02,7,Media Usage,Newspapers,2,0.0,0.0,14.17
2019-01-02,7,Media Usage,News magazines,3,0.0,0.0,0.18
2019-01-02,7,Media Usage,Internet / social media,4,0.0,0.0,25.47
2019-01-02,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.15
2019-01-02,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,2.84
2019-01-02,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.53
2019-01-03,1,National Issues,Corruption,0,-1.0,1.0,9.86
2019-01-03,1,National Issues,Unemployment,1,-1.0,1.5,28.69
2019-01-03,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.04
2019-01-03,1,National Issues,Rising Prices,3,-1.0,1.5,8.65
2019-01-03,1,National Issues,Electricity Road Water,4,-1.0,0.8,5.07
2019-01-03,1,National Issues,Terror Attacks,5,1.0,0.9,3.21
2019-01-03,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
