date,Corruption,Don't Know/Can't Say,Electricity Road Water,Epidemics such as Corona etc.,Familiy Income Poverty,Other Issues,Rising Prices,Terror Attacks,Unemployment
2019-01-01,9.62,8.29,5.52,0.0,8.71,26.17,9.35,3.89,28.45
2019-01-02,9.95,8.36,5.21,0.0,8.73,26.97,8.92,3.36,28.5
2019-01-03,9.86,8.27,5.07,0.0,9.04,27.21,8.65,3.21,28.69
2019-01-04,9.88,8.17,4.88,0.0,9.29,27.11,8.49,2.99,29.19
2019-01-05,10.04,8.01,5.02,0.0,9.4,27.84,8.62,2.73,28.34
2019-01-06,10.11,8.3,4.72,0.0,9.17,27.9,8.33,2.44,29.03
2019-01-07,10.03,8.4,4.53,0.0,9.09,28.18,8.18,2.69,28.9
2019-01-08,10.08,8.05,5.08,0.0,9.4,28.38,7.55,2.51,28.95
2019-01-09,10.4,7.75,5.19,0.0,9.41,28.42,7.72,2.46,28.65
2019-01-10,10.07,7.82,5.35,0.0,9.3,29.13,7.96,2.32,28.05
2019-01-11,10.27,7.43,5.47,0.0,9.4,30.37,7.4,2.15,27.51
2019-01-12,10.23,7.17,5.68,0.0,9.58,30.57,7.13,2.14,27.5
2019-01-13,10.2,7.15,5.75,0.0,9.65,30.54,7.2,2.13,27.38
2019-01-14,10.14,7.2,5.74,0.0,9.73,30.48,7.17,2.12,27.42
2019-01-15,10.3,7.29,5.96,0.0,9.86,30.31,7.21,2.06,27.01
2019-01-16,10.34,7.39,5.72,0.0,9.67,29.82,6.94,2.48,27.64
2019-01-17,10.08,6.99,5.89,0.0,9.47,30.68,6.88,2.65,27.36
2019-01-18,9.67,7.06,6.0,0.0,9.74,29.45,6.95,2.78,28.35
2019-01-19,9.52,7.35,5.72,0.0,9.81,28.78,7.17,2.9,28.75
2019-01-20,9.71,7.23,5.84,0.0,9.01,29.09,7.07,2.98,29.07
2019-01-21,9.71,7.21,5.85,0.0,9.02,29.14,7.02,2.98,29.07
2019-01-22,9.78,7.24,5.56,0.0,9.69,29.35,6.87,2.88,28.63
2019-01-23,9.85,7.55,5.67,0.0,9.5,28.46,6.22,3.41,29.34
2019-01-24,10.11,8.23,5.2,0.0,9.59,28.27,6.56,3.41,28.63
2019-01-25,10.47,8.04,5.18,0.0,9.42,28.53,6.69,3.7,27.97
2019-01-26,10.83,8.09,5.18,0.0,9.62,28.43,6.5,3.91,27.44
2019-01-27,10.85,8.16,5.19,0.0,9.69,28.49,6.51,3.87,27.24
2019-01-28,10.9,8.47,5.5,0.0,9.39,28.89,6.22,3.51,27.12
2019-01-29,10.43,8.8,5.33,0.0,9.65,28.82,6.22,3.46,27.29
2019-01-30,10.4,8.96,5.53,0.0,9.62,28.88,6.37,3.38,26.86
2019-01-31,10.19,9.16,5.51,0.0,9.44,29.72,6.66,3.28,26.04
2019-02-01,10.44,8.95,6.01,0.0,9.89,28.85,6.39,3.0,26.47
2019-02-02,9.89,9.39,5.98,0.0,10.31,28.53,5.88,2.57,27.45
2019-02-03,10.12,9.38,6.15,0.0,10.16,28.05,5.91,2.62,27.61
2019-02-04,10.16,9.27,6.06,0.0,9.98,28.67,5.85,2.59,27.42
2019-02-05,9.91,9.8,5.37,0.0,10.31,28.18,5.95,2.79,27.69
2019-02-06,10.58,9.98,5.33,0.0,9.49,28.39,6.12,2.37,27.74
2019-02-07,10.41,10.17,5.11,0.0,9.12,27.49,6.27,2.53,28.9
2019-02-08,10.4,10.09,5.22,0.0,9.21,27.61,6.17,2.42,28.88
2019-02-09,10.34,10.31,5.28,0.0,9.15,27.76,6.01,2.46,28.69
2019-02-10,10.39,10.41,5.23,0.0,9.08,27.69,5.95,2.46,28.79
2019-02-11,10.29,10.29,5.25,0.0,9.1,27.88,5.97,2.46,28.76
2019-02-12,10.03,10.22,5.5,0.0,9.05,27.71,6.07,2.56,28.86
2019-02-13,9.53,9.35,6.36,0.0,9.43,25.5,6.96,2.55,30.32
2019-02-14,8.57,9.05,5.64,0.0,8.68,26.14,6.46,2.79,32.67
2019-02-15,8.45,8.78,5.45,0.0,8.49,25.43,5.94,6.1,31.36
2019-02-16,8.74,8.38,5.16,0.0,8.62,25.09,5.78,9.43,28.8
2019-02-17,8.74,8.39,5.16,0.0,8.6,25.06,5.86,9.47,28.72
2019-02-18,8.82,8.26,5.14,0.0,8.54,25.13,5.8,9.72,28.59
