date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2019-01-01,31.07,1.64,36.78,30.51
2019-01-02,30.77,1.7,36.95,30.58
2019-01-03,29.9,1.57,37.48,31.05
2019-01-04,29.29,1.69,38.05,30.97
2019-01-05,27.93,1.72,39.24,31.11
2019-01-06,26.95,1.81,39.97,31.27
2019-01-07,27.6,2.0,39.32,31.08
2019-01-08,27.55,1.73,39.31,31.41
2019-01-09,28.49,1.37,39.04,31.1
2019-01-10,29.0,1.36,38.24,31.4
2019-01-11,30.42,1.38,37.61,30.59
2019-01-12,30.4,1.29,37.64,30.67
2019-01-13,30.52,1.29,37.57,30.62
2019-01-14,30.58,1.31,37.6,30.51
2019-01-15,30.55,1.22,37.8,30.43
2019-01-16,30.07,1.26,37.16,31.51
2019-01-17,30.37,1.21,37.38,31.04
2019-01-18,30.24,1.12,38.3,30.34
2019-01-19,29.95,1.02,38.73,30.3
2019-01-20,29.81,1.0,38.59,30.6
2019-01-21,29.83,0.98,38.58,30.61
2019-01-22,29.87,1.05,38.45,30.63
2019-01-23,29.95,0.99,39.75,29.31
2019-01-24,29.71,1.06,40.72,28.51
2019-01-25,30.73,1.08,38.78,29.41
2019-01-26,31.33,1.16,37.89,29.62
2019-01-27,31.39,1.19,37.8,29.62
2019-01-28,30.07,1.18,38.94,29.81
2019-01-29,29.75,1.15,39.44,29.66
2019-01-30,29.71,1.21,39.39,29.69
2019-01-31,29.27,1.16,39.6,29.97
2019-02-01,28.98,1.1,39.43,30.49
2019-02-02,27.24,1.18,40.68,30.9
2019-02-03,27.18,1.17,40.67,30.98
2019-02-04,27.58,1.28,41.05,30.09
2019-02-05,28.36,1.13,41.44,29.07
2019-02-06,27.97,1.1,41.68,29.25
2019-02-07,27.48,1.13,42.38,29.01
2019-02-08,27.66,0.96,42.41,28.97
2019-02-09,27.68,0.87,43.34,28.11
2019-02-10,27.72,0.88,43.16,28.24
2019-02-11,27.84,0.9,42.97,28.29
2019-02-12,27.54,0.83,42.39,29.24
2019-02-13,26.11,1.11,41.92,30.86
2019-02-14,26.34,1.19,42.12,30.35
2019-02-15,26.39,1.16,42.13,30.32
2019-02-16,25.81,1.06,42.74,30.39
2019-02-17,25.8,1.09,42.69,30.42
2019-02-18,25.81,1.08,42.5,30.61
2019-02-19,25.77,1.06,42.6,30.57
2019-02-20,25.67,1.09,42.43,30.81
2019-02-21,25.74,1.19,43.17,29.9
2019-02-22,25.61,0.84,43.31,30.24
2019-02-23,25.29,0.92,43.37,30.42
2019-02-24,25.71,1.03,42.85,30.41
2019-02-25,25.0,0.94,42.87,31.19
2019-02-26,25.01,1.03,43.21,30.75
2019-02-27,24.09,1.12,44.2,30.59
2019-02-28,23.78,1.06,44.28,30.88
2019-03-01,22.82,0.96,44.74,31.48
2019-03-02,22.15,0.75,45.21,31.89
2019-03-03,21.79,0.97,45.53,31.71
2019-03-04,21.72,1.03,45.51,31.74
2019-03-05,21.91,1.02,46.03,31.04
2019-03-06,21.06,1.01,46.26,31.67
2019-03-07,22.14,0.86,45.44,31.56
2019-03-08,21.65,0.89,46.5,30.96
2019-03-09,20.76,1.16,47.44,30.64
2019-03-10,22.31,1.39,46.47,29.83
2019-03-11,22.23,1.27,46.17,30.33
2019-03-12,21.89,1.28,46.8,30.03
2019-03-13,22.6,1.23,46.03,30.14
2019-03-14,22.51,1.05,45.93,30.51
2019-03-15,22.85,1.08,46.16,29.91
2019-03-16,23.7,1.21,45.12,29.97
2019-03-17,23.85,1.38,45.48,29.29
2019-03-18,23.86,1.35,45.54,29.25
2019-03-19,23.7,1.26,45.32,29.72
2019-03-20,23.99,1.38,44.29,30.34
2019-03-21,23.48,1.37,44.87,30.28
2019-03-22,24.17,1.32,44.59,29.92
2019-03-23,23.91,1.29,44.37,30.43
2019-03-24,24.05,0.89,45.01,30.05
2019-03-25,23.94,0.8,44.82,30.44
2019-03-26,24.05,0.83,44.44,30.68
2019-03-27,24.18,0.74,44.68,30.4
2019-03-28,24.61,0.65,44.31,30.43
2019-03-29,24.82,0.71,43.22,31.25
2019-03-30,24.86,0.67,43.94,30.53
2019-03-31,24.49,0.69,44.28,30.54
2019-04-01,24.07,0.58,44.27,31.08
2019-04-02,24.6,0.59,43.8,31.01
2019-04-03,24.63,1.12,43.49,30.76
2019-04-04,24.67,0.61,43.88,30.84
2019-04-05,25.4,0.52,43.83,30.25
2019-04-06,25.27,0.51,44.7,29.52
2019-04-07,24.61,0.49,44.7,30.2
2019-04-08,24.83,0.49,44.84,29.84
2019-04-09,25.45,0.48,44.07,30.0
2019-04-10,25.6,0.49,44.19,29.72
2019-04-11,26.15,0.49,43.71,29.65
2019-04-12,26.01,0.47,44.07,29.45
2019-04-13,24.32,0.5,45.15,30.03
2019-04-14,24.92,0.48,44.5,30.1
2019-04-15,25.39,0.5,44.3,29.81
