date,Income & expenditure both are same,Income increased and the expenditure went down or remained the same,Income increased but the expenditure went up as well,Income remained the same while expenditure went up,Income went down while the expenditure went up,"Income went down, expenditure remained the same",Others/Don't Know/Can't Say
2019-10-12,9.52,2.5,16.73,31.32,33.09,2.28,4.56
2019-10-13,9.55,2.51,16.74,31.24,33.1,2.29,4.57
2019-10-14,9.52,2.55,16.81,31.51,32.78,2.26,4.57
2019-10-15,9.74,2.51,16.71,31.67,32.75,2.02,4.6
2019-10-16,9.48,2.5,17.09,31.4,32.83,2.02,4.68
2019-10-17,9.37,2.38,16.94,30.31,31.57,2.02,7.41
2019-10-18,9.4,2.33,16.99,30.36,31.35,2.13,7.44
2019-10-19,9.09,2.53,17.82,29.2,31.04,2.14,8.18
2019-10-20,9.09,2.52,17.27,30.16,30.84,2.17,7.95
2019-10-21,8.15,2.55,16.9,27.56,28.56,1.86,14.42
2019-10-22,8.59,2.68,16.16,27.44,28.49,1.97,14.67
2019-10-23,9.79,2.77,16.91,29.24,32.3,2.74,6.25
2019-10-24,9.66,2.59,16.97,29.26,32.59,2.73,6.2
2019-10-25,9.27,2.6,16.76,29.53,32.5,2.65,6.69
2019-10-26,9.53,2.48,16.68,29.49,32.64,2.54,6.64
2019-10-27,9.56,2.51,16.71,29.54,32.46,2.59,6.63
2019-10-28,9.45,2.47,16.57,29.43,32.87,2.54,6.67
2019-10-29,9.43,2.47,16.62,29.28,33.02,2.55,6.63
2019-10-30,9.41,2.75,16.9,29.96,32.14,2.58,6.26
2019-10-31,9.03,3.21,18.19,28.3,33.34,2.83,5.1
2019-11-01,8.64,3.12,18.62,29.12,33.48,2.6,4.42
2019-11-02,8.43,3.18,18.59,29.46,33.3,2.61,4.43
2019-11-03,8.39,3.12,19.04,29.17,33.25,2.6,4.43
2019-11-04,7.61,3.15,18.88,29.83,33.54,2.87,4.12
2019-11-05,7.56,3.12,19.06,29.77,33.62,2.75,4.12
2019-11-06,7.66,3.14,19.21,29.36,33.42,2.89,4.32
2019-11-07,7.87,3.25,18.98,29.1,33.67,2.86,4.27
2019-11-08,7.83,3.18,19.29,28.9,33.86,2.79,4.15
2019-11-09,7.8,3.21,19.19,28.92,33.93,2.81,4.14
2019-11-10,7.91,3.16,19.22,28.98,33.84,2.79,4.1
2019-11-11,7.77,3.17,19.16,29.18,33.85,2.8,4.07
2019-11-12,7.82,3.17,19.28,28.99,33.85,2.78,4.11
2019-11-13,7.82,3.19,19.19,29.17,33.84,2.8,3.99
2019-11-14,7.85,3.28,18.99,29.15,33.87,2.8,4.06
2019-11-15,7.62,3.39,19.05,29.3,33.92,2.79,3.93
2019-11-16,7.65,3.35,19.29,29.5,33.72,2.71,3.78
2019-11-17,7.68,3.34,19.24,29.48,33.74,2.73,3.79
2019-11-18,7.6,3.36,19.19,29.39,33.89,2.72,3.85
