date,Current expenses gone up; but still manageable,Current expenses have become difficult to manage,Current expenses have gone down,Others/DK/CS
2019-10-12,33.54,55.67,5.56,5.23
2019-10-13,33.57,55.61,5.57,5.25
2019-10-14,33.62,55.56,5.56,5.26
2019-10-15,33.38,55.83,5.5,5.29
2019-10-16,33.24,56.07,5.34,5.35
2019-10-17,32.39,54.26,5.34,8.01
2019-10-18,32.19,54.32,5.39,8.1
2019-10-19,34.57,51.04,5.55,8.84
2019-10-20,33.63,52.13,5.62,8.62
2019-10-21,32.51,47.33,4.96,15.2
2019-10-22,32.38,47.05,5.64,14.93
2019-10-23,33.68,54.55,5.85,5.92
2019-10-24,33.5,54.44,5.9,6.16
2019-10-25,34.03,53.5,6.07,6.4
2019-10-26,33.68,53.47,6.24,6.61
2019-10-27,34.03,53.39,6.0,6.58
2019-10-28,33.49,53.67,6.19,6.65
2019-10-29,33.49,53.79,6.14,6.58
2019-10-30,34.37,53.36,5.74,6.53
2019-10-31,34.23,55.03,5.5,5.24
2019-11-01,35.42,53.65,6.19,4.74
2019-11-02,35.53,53.43,6.23,4.81
2019-11-03,35.57,53.52,6.13,4.78
2019-11-04,35.65,54.83,4.63,4.89
2019-11-05,36.28,53.98,4.93,4.81
2019-11-06,36.4,53.63,5.03,4.94
2019-11-07,36.78,53.26,5.06,4.9
2019-11-08,36.78,53.3,4.99,4.93
2019-11-09,36.66,53.31,5.09,4.94
2019-11-10,36.64,53.27,5.17,4.92
2019-11-11,36.52,53.34,5.2,4.94
2019-11-12,36.58,53.24,5.22,4.96
2019-11-13,36.52,53.23,5.25,5.0
2019-11-14,36.79,52.87,5.22,5.12
2019-11-15,36.73,52.99,5.22,5.06
2019-11-16,37.13,52.55,5.22,5.1
2019-11-17,37.05,52.68,5.18,5.09
2019-11-18,37.19,52.44,5.22,5.15
2019-11-19,37.19,52.21,5.35,5.25
2019-11-20,37.11,52.22,5.33,5.34
2019-11-21,37.04,52.18,5.29,5.49
2019-11-22,36.78,52.65,5.13,5.44
2019-11-23,37.1,52.42,5.14,5.34
2019-11-24,37.03,52.46,5.16,5.35
2019-11-25,36.85,52.6,5.12,5.43
2019-11-26,36.77,52.78,5.1,5.35
2019-11-27,36.58,53.02,5.15,5.25
2019-11-28,36.55,53.0,5.23,5.22
2019-11-29,36.45,53.13,5.46,4.96
2019-11-30,36.23,53.47,5.51,4.79
2019-12-01,36.1,53.65,5.43,4.82
2019-12-02,35.69,54.06,5.51,4.74
2019-12-03,35.69,54.25,5.49,4.57
2019-12-04,35.63,54.34,5.39,4.64
2019-12-05,35.53,54.53,5.31,4.63
2019-12-06,35.27,54.92,5.24,4.57
2019-12-07,35.09,55.26,5.1,4.55
2019-12-08,35.29,55.05,5.11,4.55
2019-12-09,35.17,55.29,5.03,4.51
2019-12-10,34.9,55.06,5.49,4.55
2019-12-11,35.1,54.92,5.44,4.54
2019-12-12,34.93,55.13,5.37,4.57
2019-12-13,34.99,55.02,5.42,4.57
2019-12-14,35.0,55.02,5.43,4.55
2019-12-15,35.01,54.93,5.43,4.63
2019-12-16,34.86,55.03,5.46,4.65
2019-12-17,35.01,54.9,5.47,4.62
2019-12-18,34.93,55.01,5.44,4.62
2019-12-19,34.83,55.11,5.44,4.62
2019-12-20,34.82,55.02,5.5,4.66
2019-12-21,34.92,54.98,5.46,4.64
2019-12-22,34.76,55.09,5.48,4.67
2019-12-23,34.62,55.23,5.52,4.63
2019-12-24,34.49,55.4,5.43,4.68
2019-12-25,34.47,55.38,5.46,4.69
2019-12-26,34.45,55.26,5.58,4.71
2019-12-27,34.7,54.81,5.35,5.14
2019-12-28,34.83,55.12,5.22,4.83
2019-12-29,34.77,55.11,5.28,4.84
2019-12-30,35.05,54.87,5.34,4.74
2019-12-31,34.99,54.91,5.36,4.74
2020-01-01,35.08,54.91,5.28,4.73
2020-01-02,35.09,54.91,5.28,4.72
2020-01-03,35.11,54.73,5.46,4.7
2020-01-04,35.12,54.83,5.37,4.68
