date,Don't Know/Can't Say,Will Deteriorate,Will Improve,Will remain the same
2019-01-01,27.68,9.92,52.89,9.51
2019-01-02,26.96,10.06,53.36,9.62
2019-01-03,26.96,10.3,53.04,9.7
2019-01-04,26.9,10.3,53.01,9.79
2019-01-05,26.25,9.39,53.9,10.46
2019-01-06,26.08,9.6,53.36,10.96
2019-01-07,25.54,9.91,53.27,11.28
2019-01-08,25.37,10.08,52.93,11.62
2019-01-09,25.46,9.63,53.6,11.31
2019-01-10,26.05,9.79,52.84,11.32
2019-01-11,25.54,9.64,53.67,11.15
2019-01-12,25.26,9.51,54.1,11.13
2019-01-13,25.42,9.36,54.08,11.14
2019-01-14,25.58,9.31,54.07,11.04
2019-01-15,25.95,9.39,53.8,10.86
2019-01-16,25.59,9.19,53.9,11.32
2019-01-17,25.7,9.41,53.31,11.58
2019-01-18,25.39,9.12,54.25,11.24
2019-01-19,25.68,8.96,54.66,10.7
2019-01-20,25.25,8.99,54.95,10.81
2019-01-21,25.23,8.99,54.97,10.81
2019-01-22,25.13,8.9,55.5,10.47
2019-01-23,25.64,9.18,54.81,10.37
2019-01-24,25.3,9.37,54.61,10.72
2019-01-25,25.05,9.7,54.42,10.83
2019-01-26,25.36,9.71,53.82,11.11
2019-01-27,25.43,9.73,53.81,11.03
2019-01-28,25.58,9.83,54.0,10.59
2019-01-29,25.23,9.81,54.64,10.32
2019-01-30,25.35,9.74,54.43,10.48
2019-01-31,24.77,9.68,55.17,10.38
2019-02-01,25.08,9.59,55.67,9.66
2019-02-02,25.17,9.9,55.54,9.39
2019-02-03,24.97,9.51,55.83,9.69
2019-02-04,25.26,9.25,55.89,9.6
2019-02-05,23.87,8.57,57.23,10.33
2019-02-06,24.58,8.47,56.2,10.75
2019-02-07,23.73,8.32,56.76,11.19
2019-02-08,23.52,8.47,56.96,11.05
2019-02-09,23.73,8.41,56.92,10.94
2019-02-10,23.69,8.46,56.89,10.96
2019-02-11,23.96,8.47,56.62,10.95
2019-02-12,24.29,8.53,56.24,10.94
2019-02-13,25.16,9.11,54.19,11.54
2019-02-14,24.62,9.58,55.16,10.64
2019-02-15,25.79,9.77,54.27,10.17
2019-02-16,25.34,9.18,54.77,10.71
2019-02-17,25.44,9.17,54.66,10.73
2019-02-18,25.56,9.13,54.46,10.85
2019-02-19,25.54,9.17,54.37,10.92
2019-02-20,25.73,9.31,54.34,10.62
2019-02-21,26.04,8.74,54.71,10.51
2019-02-22,26.56,8.32,54.55,10.57
2019-02-23,26.04,8.3,55.31,10.35
2019-02-24,26.78,8.59,54.62,10.01
2019-02-25,26.48,8.66,54.74,10.12
2019-02-26,25.79,8.65,55.48,10.08
2019-02-27,25.47,8.4,56.39,9.74
2019-02-28,25.24,7.86,56.99,9.91
2019-03-01,24.53,8.2,57.59,9.68
2019-03-02,23.8,8.16,58.75,9.29
2019-03-03,23.51,8.28,58.83,9.38
2019-03-04,23.49,8.27,58.87,9.37
2019-03-05,23.45,8.0,59.55,9.0
2019-03-06,22.98,7.9,60.25,8.87
2019-03-07,23.68,7.94,59.09,9.29
2019-03-08,23.79,7.89,59.3,9.02
2019-03-09,23.67,7.88,58.65,9.8
2019-03-10,24.19,7.84,57.47,10.5
2019-03-11,24.77,7.32,57.64,10.27
2019-03-12,24.92,7.36,58.27,9.45
2019-03-13,24.94,7.87,57.81,9.38
2019-03-14,24.46,7.98,58.04,9.52
2019-03-15,24.17,7.93,59.1,8.8
2019-03-16,23.98,8.17,59.05,8.8
2019-03-17,23.99,7.85,59.53,8.63
2019-03-18,23.85,7.82,59.76,8.57
2019-03-19,23.94,7.76,59.48,8.82
2019-03-20,23.9,7.76,59.3,9.04
2019-03-21,24.3,7.28,59.5,8.92
2019-03-22,24.13,7.59,59.28,9.0
2019-03-23,24.13,7.58,59.25,9.04
2019-03-24,23.67,7.12,59.96,9.25
2019-03-25,23.21,7.41,60.25,9.13
2019-03-26,23.66,7.23,60.07,9.04
2019-03-27,23.72,7.61,60.04,8.63
2019-03-28,23.85,7.78,59.45,8.92
2019-03-29,24.08,8.1,58.64,9.18
2019-03-30,24.47,7.86,58.72,8.95
2019-03-31,23.87,7.94,59.1,9.09
2019-04-01,24.01,7.91,59.07,9.01
2019-04-02,24.36,7.91,58.63,9.1
2019-04-03,24.98,7.94,57.76,9.32
2019-04-04,24.15,7.64,58.52,9.69
2019-04-05,23.84,7.75,59.0,9.41
2019-04-06,23.68,7.66,59.4,9.26
2019-04-07,22.93,7.35,60.33,9.39
2019-04-08,23.14,7.19,60.25,9.42
2019-04-09,23.31,7.87,59.19,9.63
2019-04-10,22.83,7.78,59.8,9.59
2019-04-11,22.64,7.77,60.23,9.36
2019-04-12,22.56,7.88,60.23,9.33
2019-04-13,22.46,7.36,60.7,9.48
2019-04-14,22.51,7.57,60.48,9.44
2019-04-15,22.78,7.88,59.66,9.68
2019-04-16,22.58,7.75,59.8,9.87
2019-04-17,22.69,7.28,60.17,9.86
2019-04-18,22.99,7.71,59.5,9.8
2019-04-19,23.32,7.46,59.29,9.93
2019-04-20,23.29,7.62,59.6,9.49
2019-04-21,23.28,7.54,59.72,9.46
2019-04-22,23.13,7.56,59.8,9.51
2019-04-23,23.26,7.56,59.64,9.54
2019-04-24,23.28,7.5,59.65,9.57
2019-04-25,23.53,7.56,59.44,9.47
2019-04-26,23.48,7.37,59.73,9.42
2019-04-27,23.35,7.15,59.99,9.51
2019-04-28,23.18,7.16,59.66,10.0
2019-04-29,23.61,7.09,59.1,10.2
2019-04-30,23.53,6.98,59.27,10.22
2019-05-01,23.7,7.02,59.34,9.94
2019-05-02,23.92,7.25,59.06,9.77
2019-05-03,23.96,7.27,59.04,9.73
2019-05-04,24.34,7.4,58.52,9.74
2019-05-05,24.42,7.71,58.26,9.61
2019-05-06,24.85,7.62,58.01,9.52
2019-05-07,25.6,7.9,57.03,9.47
2019-05-08,25.34,7.81,57.4,9.45
2019-05-09,25.28,7.72,57.49,9.51
2019-05-10,25.05,7.55,57.5,9.9
2019-05-11,24.87,7.61,57.61,9.91
2019-05-12,24.41,7.49,58.25,9.85
