date,Don't Know/Can't Say,My life & the country both are in a poor state,My life is improving but the country is in poor state,The country is moving forward and my life too,The country is moving forward but not my life
2019-01-01,5.42,22.7,4.93,54.71,12.24
2019-01-02,5.3,22.49,4.84,54.95,12.42
2019-01-03,5.08,22.0,4.64,55.56,12.72
2019-01-04,4.88,21.42,4.39,56.63,12.68
2019-01-05,4.64,20.21,4.93,57.44,12.78
2019-01-06,4.6,19.32,4.77,57.84,13.47
2019-01-07,4.66,18.97,4.68,58.7,12.99
2019-01-08,4.52,20.41,4.65,57.41,13.01
2019-01-09,4.36,20.48,4.8,57.71,12.65
2019-01-10,4.36,21.35,4.7,57.56,12.03
2019-01-11,4.35,22.27,4.48,57.53,11.37
2019-01-12,4.38,22.06,4.52,57.86,11.18
2019-01-13,4.31,22.07,4.54,57.84,11.24
2019-01-14,4.39,22.02,4.5,57.85,11.24
2019-01-15,4.39,22.72,4.57,57.06,11.26
2019-01-16,4.48,22.24,4.42,57.84,11.02
2019-01-17,4.35,22.86,4.29,57.48,11.02
2019-01-18,4.44,21.88,4.17,57.94,11.57
2019-01-19,4.32,22.01,4.07,58.05,11.55
2019-01-20,4.26,22.07,3.75,58.43,11.49
2019-01-21,4.28,22.07,3.75,58.41,11.49
2019-01-22,4.36,21.7,3.71,58.31,11.92
2019-01-23,4.68,20.73,3.88,58.32,12.39
2019-01-24,4.67,20.68,3.69,58.06,12.9
2019-01-25,4.74,20.94,3.58,58.54,12.2
2019-01-26,4.86,20.72,3.82,58.51,12.09
2019-01-27,4.87,20.82,3.81,58.46,12.04
2019-01-28,4.8,20.4,4.07,58.65,12.08
2019-01-29,4.47,20.45,3.94,58.62,12.52
2019-01-30,4.49,20.18,4.06,58.7,12.57
2019-01-31,4.15,20.31,4.13,59.09,12.32
2019-02-01,4.35,19.57,4.39,59.44,12.25
2019-02-02,3.98,18.97,4.65,58.87,13.53
2019-02-03,3.89,18.64,4.75,59.06,13.66
2019-02-04,4.06,19.49,4.67,58.5,13.28
2019-02-05,4.34,19.49,3.87,59.2,13.1
2019-02-06,4.9,18.61,4.65,59.07,12.77
2019-02-07,4.55,18.38,5.03,59.75,12.29
2019-02-08,4.21,18.68,5.11,59.66,12.34
2019-02-09,4.11,18.62,5.16,59.37,12.74
2019-02-10,4.13,18.64,5.21,59.23,12.79
2019-02-11,4.1,18.9,5.11,59.18,12.71
2019-02-12,4.08,18.45,4.97,59.12,13.38
2019-02-13,4.12,17.14,5.36,60.57,12.81
2019-02-14,3.79,18.49,4.89,60.36,12.47
2019-02-15,3.94,18.35,4.66,60.16,12.89
2019-02-16,4.41,18.1,4.15,60.12,13.22
2019-02-17,4.41,18.18,4.11,60.17,13.13
2019-02-18,4.47,18.28,4.07,60.04,13.14
2019-02-19,4.63,17.92,4.11,60.23,13.11
2019-02-20,4.38,18.41,3.97,60.42,12.82
2019-02-21,4.43,17.76,4.03,61.47,12.31
2019-02-22,4.09,17.18,3.93,62.97,11.83
2019-02-23,3.91,17.3,3.97,63.5,11.32
2019-02-24,3.39,16.78,4.23,64.7,10.9
2019-02-25,3.45,17.1,4.4,64.03,11.02
2019-02-26,3.23,17.17,4.75,63.93,10.92
2019-02-27,3.3,16.41,4.44,65.14,10.71
2019-02-28,3.31,15.4,4.46,66.1,10.73
2019-03-01,3.05,15.33,4.3,66.18,11.14
2019-03-02,2.94,14.58,4.37,66.85,11.26
2019-03-03,3.1,13.85,4.34,67.02,11.69
2019-03-04,3.17,13.77,4.33,67.01,11.72
2019-03-05,3.12,13.55,3.72,68.13,11.48
2019-03-06,3.2,11.97,3.58,69.01,12.24
2019-03-07,3.12,11.84,3.84,68.71,12.49
2019-03-08,3.14,13.07,4.22,67.88,11.69
2019-03-09,3.44,12.67,4.57,68.64,10.68
2019-03-10,3.48,13.85,4.74,66.95,10.98
2019-03-11,3.29,13.5,4.21,67.58,11.42
2019-03-12,3.31,14.3,3.52,67.26,11.61
2019-03-13,3.27,14.58,3.41,67.13,11.61
2019-03-14,3.22,13.99,3.35,67.83,11.61
2019-03-15,3.59,13.53,3.59,67.54,11.75
2019-03-16,3.75,13.53,3.73,67.29,11.7
2019-03-17,3.71,14.0,3.42,67.28,11.59
2019-03-18,3.45,14.29,3.47,66.65,12.14
2019-03-19,3.27,14.75,3.37,66.34,12.27
2019-03-20,3.04,14.94,3.54,65.92,12.56
2019-03-21,3.01,14.27,3.61,66.22,12.89
2019-03-22,3.09,14.57,3.71,65.54,13.09
2019-03-23,3.02,15.44,3.39,65.21,12.94
2019-03-24,2.52,16.07,3.17,65.44,12.8
2019-03-25,2.42,15.89,3.14,65.44,13.11
2019-03-26,2.58,16.07,3.0,65.19,13.16
2019-03-27,2.77,15.98,3.21,64.91,13.13
2019-03-28,2.84,16.3,3.37,64.15,13.34
2019-03-29,2.68,16.76,3.36,63.89,13.31
2019-03-30,2.83,17.1,3.32,63.52,13.23
2019-03-31,2.86,16.95,3.4,63.77,13.02
2019-04-01,2.85,16.71,3.56,63.59,13.29
2019-04-02,3.0,17.14,3.51,62.97,13.38
2019-04-03,3.36,16.78,3.91,62.69,13.26
2019-04-04,2.8,16.86,3.73,63.44,13.17
2019-04-05,2.79,16.98,3.67,63.51,13.05
2019-04-06,2.81,17.06,3.36,63.99,12.78
2019-04-07,2.65,17.05,3.37,64.21,12.72
